NO_ASET,SUB_ASET,NO_ITEM,NJOP,NO_PBB,TGL_PBB,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,PERIODE,TAHUN,KETERANGAN_PBB
120506004265,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:27:25 GMT+0700 (Western Indonesia Time),6,2023,
120506004235,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:29:00 GMT+0700 (Western Indonesia Time),6,2023,
120505002395,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,155,Tue Dec 12 2023 16:29:21 GMT+0700 (Western Indonesia Time),6,2023,
120506004221,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:29:45 GMT+0700 (Western Indonesia Time),6,2023,
120505002114,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,228,Tue Dec 12 2023 16:30:12 GMT+0700 (Western Indonesia Time),6,2023,
120506004223,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:30:49 GMT+0700 (Western Indonesia Time),6,2023,
120502002198,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,135,Tue Dec 12 2023 16:35:25 GMT+0700 (Western Indonesia Time),6,2023,
120509000087,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,260,Tue Dec 12 2023 16:36:25 GMT+0700 (Western Indonesia Time),6,2023,
120502002175,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,135,Wed Dec 20 2023 17:19:24 GMT+0700 (Western Indonesia Time),6,2023,
120505002013,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,228,Tue Dec 12 2023 16:37:48 GMT+0700 (Western Indonesia Time),6,2023,
