NO_ASET,SUB_ASET,NILAI_SUSUT,AKUMULASI_PENYUSUTAN,NILAI_PEROLEHAN,NILAI_BUKU,NILAI_RESIDU,PERIODE,TAHUN,CREATED_BY,CREATED_ON,PENURUNAN_AKUMULASI_NILAI,PEMULIHAN_AKUMULASI_NILAI,AKUMULASI_PENYUSUTAN_NEW,PENYUSUTAN_SD_BLN_BERJALAN
120502000053,0,0,408,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000054,0,0,24,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000055,0,0,420,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000056,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000057,0,0,12,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000058,0,0,24,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000059,0,0,144,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000063,0,0,0,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000066,0,0,24,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000067,0,0,588,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000068,0,0,420,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000070,0,0,48,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000071,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000072,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000073,0,0,204,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000074,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000075,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000076,0,0,588,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000077,0,0,72,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000078,0,0,72,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000079,0,0,72,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000080,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000081,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000082,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000083,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000084,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000085,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000086,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000087,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000088,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000089,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000090,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000091,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000092,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000093,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000094,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000095,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
