SUB_ASET,PATH_SURAT,FLAG,CREATED_ON,JENIS_FOTO,NO_ITEM,NO_ASET
0,storage/upload/120604000328/0/1/111420231021376552e7c1b7732.jpg,Y,Tue Nov 14 2023 10:21:37 GMT+0700 (Western Indonesia Time),1,1,120604000328
0,storage/upload/120604000329/0/2/111420231021576552e7d511cbd.jpg,Y,Tue Nov 14 2023 10:21:57 GMT+0700 (Western Indonesia Time),2,1,120604000329
0,storage/upload/120504002903/0/1/111420231022076552e7dff2c0b.jpg,Y,Tue Nov 14 2023 10:22:07 GMT+0700 (Western Indonesia Time),1,1,120504002903
0,storage/upload/120506002576/0/1/111720231218416556f7b12fe6b.jpeg,Y,Fri Nov 17 2023 12:18:41 GMT+0700 (Western Indonesia Time),1,1,120506002576
0,storage/upload/120506002550/0/1/111720231221446556f868bcd67.jpeg,Y,Fri Nov 17 2023 12:21:44 GMT+0700 (Western Indonesia Time),1,1,120506002550
0,storage/upload/120506002666/0/1/111720231225186556f93e46419.jpeg,Y,Fri Nov 17 2023 12:25:18 GMT+0700 (Western Indonesia Time),1,1,120506002666
0,storage/upload/120506002702/0/1/111720231227006556f9a42ab41.jpeg,Y,Fri Nov 17 2023 12:27:00 GMT+0700 (Western Indonesia Time),1,1,120506002702
0,storage/upload/120506002577/0/1/111720231229276556fa379fbb8.jpeg,Y,Fri Nov 17 2023 12:29:27 GMT+0700 (Western Indonesia Time),1,1,120506002577
0,storage/upload/120502004106/0/2/111420231030266552e9d287fb4.jpg,Y,Tue Nov 14 2023 10:30:26 GMT+0700 (Western Indonesia Time),2,1,120502004106
0,storage/upload/120502002749/0/2/111420231030376552e9dd77f80.jpg,Y,Tue Nov 14 2023 10:30:37 GMT+0700 (Western Indonesia Time),2,1,120502002749
0,storage/upload/120604000358/0/2/111420231030406552e9e08a708.jpg,Y,Tue Nov 14 2023 10:30:40 GMT+0700 (Western Indonesia Time),2,1,120604000358
0,storage/upload/120604000362/0/2/111420231031076552e9fb8b619.jpg,Y,Tue Nov 14 2023 10:31:07 GMT+0700 (Western Indonesia Time),2,1,120604000362
0,storage/upload/120506001927/0/3/111420231029546552e9b21e778.pdf,Y,Tue Nov 14 2023 10:31:18 GMT+0700 (Western Indonesia Time),3,1,120506001927
0,storage/upload/120504002907/0/1/111420231031426552ea1e9dbcb.jpg,Y,Tue Nov 14 2023 10:31:42 GMT+0700 (Western Indonesia Time),1,1,120504002907
0,storage/upload/120505002319/0/2/111420231031466552ea22deaa8.jpg,Y,Tue Nov 14 2023 10:31:46 GMT+0700 (Western Indonesia Time),2,1,120505002319
0,storage/upload/120604000363/0/2/111420231031526552ea281254f.jpg,Y,Tue Nov 14 2023 10:31:52 GMT+0700 (Western Indonesia Time),2,1,120604000363
0,storage/upload/120509000428/0/3/111420231028436552e96b0d55c.pdf,Y,Tue Nov 14 2023 10:32:18 GMT+0700 (Western Indonesia Time),3,1,120509000428
0,storage/upload/120604000364/0/2/111420231032266552ea4a8d770.jpg,Y,Tue Nov 14 2023 10:32:26 GMT+0700 (Western Indonesia Time),2,1,120604000364
0,storage/upload/120505002318/0/2/111420231032416552ea59cf086.jpg,Y,Tue Nov 14 2023 10:32:41 GMT+0700 (Western Indonesia Time),2,1,120505002318
0,storage/upload/120502004107/0/1/111420231032546552ea660e012.jpg,Y,Tue Nov 14 2023 10:32:54 GMT+0700 (Western Indonesia Time),1,1,120502004107
0,storage/upload/120506000196/0/2/111420231032586552ea6a34f90.jpg,Y,Tue Nov 14 2023 10:32:58 GMT+0700 (Western Indonesia Time),2,1,120506000196
0,storage/upload/120502004108/0/2/111420231032596552ea6be4c27.jpg,Y,Tue Nov 14 2023 10:32:59 GMT+0700 (Western Indonesia Time),2,1,120502004108
0,storage/upload/120504002908/0/2/111420231033116552ea773b38d.jpg,Y,Tue Nov 14 2023 10:33:11 GMT+0700 (Western Indonesia Time),2,1,120504002908
0,storage/upload/120604000365/0/1/111420231033146552ea7a45576.jpg,Y,Tue Nov 14 2023 10:33:14 GMT+0700 (Western Indonesia Time),1,1,120604000365
0,storage/upload/120604000366/0/2/111420231033416552ea95e52ec.jpg,Y,Tue Nov 14 2023 10:33:41 GMT+0700 (Western Indonesia Time),2,1,120604000366
0,storage/upload/120509000073/0/2/111420231034006552eaa8857d9.jpg,Y,Tue Nov 14 2023 10:34:00 GMT+0700 (Western Indonesia Time),2,1,120509000073
0,storage/upload/120502003010/0/1/111420231034096552eab1ecd22.jpg,Y,Tue Nov 14 2023 10:34:09 GMT+0700 (Western Indonesia Time),1,1,120502003010
0,storage/upload/120604000367/0/2/111420231034156552eab731b58.jpg,Y,Tue Nov 14 2023 10:34:15 GMT+0700 (Western Indonesia Time),2,1,120604000367
0,storage/upload/120506000121/0/2/111420231034346552eacacafaa.jpg,Y,Tue Nov 14 2023 10:34:34 GMT+0700 (Western Indonesia Time),2,1,120506000121
0,storage/upload/120506003626/0/3/111420231026456552e8f5a126a.pdf,Y,Tue Nov 14 2023 10:34:39 GMT+0700 (Western Indonesia Time),3,1,120506003626
0,storage/upload/120502004109/0/1/111420231034456552ead5831f9.jpg,Y,Tue Nov 14 2023 10:34:45 GMT+0700 (Western Indonesia Time),1,1,120502004109
0,storage/upload/120502002760/0/1/111420231034506552eada6e35f.jpg,Y,Tue Nov 14 2023 10:34:50 GMT+0700 (Western Indonesia Time),1,1,120502002760
0,storage/upload/120604000368/0/2/111420231034506552eadada363.jpg,Y,Tue Nov 14 2023 10:34:50 GMT+0700 (Western Indonesia Time),2,1,120604000368
